solver,n,num_sweeps,beta_min,beta_max,beta_schedule_type,qubits_per_chain,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
PathIntegralAnnealingSampler,10,1000,0.5,1.0,linear,1,1.0,1.2775925925925924,0.4625,10
PathIntegralAnnealingSampler,10,1000,0.1,1.0,linear,1,1.0,1.2812962962962962,0.4471,10
PathIntegralAnnealingSampler,10,1000,0.5,1.0,geometric,1,1.0,1.2812962962962962,0.4619,10
PathIntegralAnnealingSampler,10,1000,0.5,1.0,geometric,2,1.0,1.2812962962962962,0.5664,10
PathIntegralAnnealingSampler,10,1000,0.01,1.0,linear,1,1.0,1.2819444444444443,0.4495,10
PathIntegralAnnealingSampler,15,1000,0.1,0.5,geometric,1,1.0,1.5634615384615376,1.3918,5
PathIntegralAnnealingSampler,15,1000,0.1,1.0,linear,2,1.0,1.576923076923076,1.7078,5
PathIntegralAnnealingSampler,15,500,0.1,1.0,linear,2,1.0,1.578846153846153,0.8482,5
PathIntegralAnnealingSampler,15,1000,0.01,1.0,linear,1,1.0,1.578846153846153,1.3716000000000002,5
PathIntegralAnnealingSampler,15,1000,0.1,1.0,geometric,2,1.0,1.578846153846153,1.6960000000000002,5
PathIntegralAnnealingSampler,20,1000,0.01,0.5,linear,1,1.0,1.4443361217365813,3.085,5
PathIntegralAnnealingSampler,20,1000,1e-09,0.5,linear,2,1.0,1.4494236036729553,3.7942,5
PathIntegralAnnealingSampler,20,1000,0.1,1.0,geometric,2,1.0,1.4819834880657492,3.7678,5
PathIntegralAnnealingSampler,20,1000,0.01,0.5,linear,2,0.8,1.4270386831529096,3.8061999999999996,5
PathIntegralAnnealingSampler,20,500,0.1,0.5,linear,2,0.8,1.443572999446125,1.8826,5
PathIntegralAnnealingSampler,25,1000,0.1,1.0,geometric,1,0.6,1.4450189940449807,5.6932,5
PathIntegralAnnealingSampler,25,1000,0.1,0.5,linear,1,0.6,1.4577608336397603,5.7548,5
PathIntegralAnnealingSampler,25,1000,0.01,0.5,linear,1,0.2,1.405849635290659,5.7661999999999995,5
PathIntegralAnnealingSampler,25,1000,0.1,0.5,geometric,1,0.2,1.4412436341650463,5.7212000000000005,5
PathIntegralAnnealingSampler,25,500,0.1,0.5,geometric,1,0.2,1.4483224339399237,2.955,5
SimulatedAnnealingSampler,10,500,0.5,1.0,geometric,1,1.0,1.2775925925925926,0.006,10
SimulatedAnnealingSampler,10,1000,0.01,1.0,linear,1,1.0,1.2812962962962962,0.011399999999999999,10
SimulatedAnnealingSampler,10,500,0.01,1.0,linear,1,1.0,1.2831481481481481,0.0063,10
SimulatedAnnealingSampler,10,1000,0.5,10.0,geometric,1,1.0,1.2831481481481481,0.0068000000000000005,10
SimulatedAnnealingSampler,10,1000,0.5,5.0,geometric,1,1.0,1.2843518518518517,0.007800000000000001,10
SimulatedAnnealingSampler,15,1000,0.01,1.0,linear,1,1.0,1.5499999999999992,0.022399999999999996,5
SimulatedAnnealingSampler,15,1000,0.1,1.0,linear,1,1.0,1.5499999999999994,0.021400000000000002,5
SimulatedAnnealingSampler,15,1000,0.1,0.5,linear,1,1.0,1.5557692307692297,0.023,5
SimulatedAnnealingSampler,15,500,0.1,1.0,linear,1,1.0,1.55576923076923,0.010799999999999999,5
SimulatedAnnealingSampler,15,1000,0.01,5.0,geometric,1,1.0,1.557692307692307,0.027000000000000003,5
SimulatedAnnealingSampler,20,1000,0.1,0.5,linear,1,1.0,1.417372467473799,0.038400000000000004,5
SimulatedAnnealingSampler,20,1000,0.1,0.5,geometric,1,1.0,1.4250036903783603,0.0408,5
SimulatedAnnealingSampler,20,1000,1e-09,0.5,linear,1,1.0,1.4275474313465473,0.045,5
SimulatedAnnealingSampler,20,1000,0.01,0.5,linear,1,1.0,1.4280561795401845,0.043399999999999994,5
SimulatedAnnealingSampler,20,500,0.1,0.5,linear,1,1.0,1.4295824241210966,0.02,5
SimulatedAnnealingSampler,25,1000,0.1,0.5,linear,1,1.0,1.4132115870565316,0.061,5
SimulatedAnnealingSampler,25,1000,1e-09,0.5,linear,1,1.0,1.4282186425792718,0.07239999999999999,5
SimulatedAnnealingSampler,25,1000,0.01,0.5,linear,1,0.8,1.425316334671572,0.069,5
SimulatedAnnealingSampler,25,1000,0.01,1.0,linear,1,0.8,1.4355805943451443,0.059199999999999996,5
SimulatedAnnealingSampler,25,1000,0.1,1.0,geometric,1,0.6,1.4355805943451443,0.058399999999999994,5
